Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Trans Creeper Gear,Trans Desc,Carline Class Desc,Label Recalc?,Stop/Start System (Engine Management System)  Description
1.8,4,34.4702,6,10.0,2,2,N,Automated Manual,Two Seaters,N,No
6.0,12,18.1901,7,10.0,2,2,N,Automated Manual,Two Seaters,N,No
4.7,8,20.5806,7,10.0,2,2,N,Automated Manual,Two Seaters,N,No
4.7,8,19.4895,6,10.0,2,2,N,Manual,Two Seaters,N,No
4.7,8,20.5806,7,10.0,2,2,N,Automated Manual,Two Seaters,N,No
4.7,8,19.4895,6,10.0,2,2,N,Manual,Two Seaters,N,No
4.7,8,20.5806,7,10.0,2,2,N,Automated Manual,Two Seaters,N,No
4.7,8,19.4895,6,10.0,2,2,N,Manual,Two Seaters,N,No
4.2,8,20.5904,7,15.0,2,2,N,Automated Manual- Selectable (e.g. Automated Manual with paddles),Two Seaters,N,No
4.2,8,17.0265,6,15.0,2,2,N,Manual,Two Seaters,N,No
5.2,10,19.4796,7,15.0,2,2,N,Automated Manual- Selectable (e.g. Automated Manual with paddles),Two Seaters,N,No
5.2,10,16.8527,6,15.0,2,2,N,Manual,Two Seaters,N,No
4.2,8,20.5904,7,15.0,2,2,N,Automated Manual- Selectable (e.g. Automated Manual with paddles),Two Seaters,N,No
4.2,8,17.0265,6,15.0,2,2,N,Manual,Two Seaters,N,No
5.2,10,19.4796,7,15.0,2,2,N,Automated Manual- Selectable (e.g. Automated Manual with paddles),Two Seaters,N,No
5.2,10,16.8527,6,15.0,2,2,N,Manual,Two Seaters,N,No
2.0,4,33.2728,6,15.0,2,2,N,Automated Manual- Selectable (e.g. Automated Manual with paddles),Two Seaters,N,No
4.0,8,21.0282,8,15.0,2,2,N,Semi-Automatic,Two Seaters,N,No
2.0,4,34.1594,8,10.0,2,2,N,Semi-Automatic,Two Seaters,N,No
2.0,4,34.817,6,10.0,2,2,N,Manual,Two Seaters,N,Yes
3.0,6,25.3494,7,10.0,2,2,N,Automated Manual- Selectable (e.g. Automated Manual with paddles),Two Seaters,N,No
3.0,6,25.3494,7,10.0,2,2,N,Automated Manual- Selectable (e.g. Automated Manual with paddles),Two Seaters,N,No
8.0,16,12.4782,7,15.0,2,2,N,Automated Manual- Selectable (e.g. Automated Manual with paddles),Two Seaters,N,No
6.2,8,25.962,8,10.0,1,1,N,Semi-Automatic,Two Seaters,N,No
6.2,8,20.5173,8,10.0,1,1,N,Semi-Automatic,Two Seaters,N,No
6.2,8,27.1836,7,10.0,1,1,N,Manual,Two Seaters,N,No
6.2,8,22.6242,7,10.0,1,1,N,Manual,Two Seaters,N,No
8.4,10,18.78,6,10.0,1,1,N,Manual,Two Seaters,N,No
4.5,8,18.6649,7,10.0,2,2,N,Automated Manual,Two Seaters,N,Yes
4.5,8,18.3593,7,10.0,2,2,N,Automated Manual,Two Seaters,N,No
4.5,8,18.3593,7,10.0,2,2,N,Automated Manual,Two Seaters,N,No
4.5,8,18.6649,7,10.0,2,2,N,Automated Manual,Two Seaters,N,Yes
4.5,8,18.6649,7,10.0,2,2,N,Automated Manual,Two Seaters,N,Yes
4.5,8,18.3593,7,10.0,2,2,N,Automated Manual,Two Seaters,N,No
4.5,8,18.6649,7,10.0,2,2,N,Automated Manual,Two Seaters,N,Yes
4.5,8,18.3593,7,10.0,2,2,N,Automated Manual,Two Seaters,N,No
6.3,12,17.0002,7,10.0,2,2,N,Automated Manual,Two Seaters,N,Yes
6.3,12,16.7215,7,10.0,2,2,N,Automated Manual,Two Seaters,N,No
1.5,4,51.1079,7,10.0,2,2,N,Selectable Continuously Variable (e.g. CVT with paddles),Two Seaters,N,Yes
1.5,4,46.0738,6,10.0,2,2,N,Manual,Two Seaters,N,Yes
3.0,6,29.921,8,15.0,2,2,N,Semi-Automatic,Two Seaters,N,Yes
3.0,6,29.921,8,15.0,2,2,N,Semi-Automatic,Two Seaters,N,Yes
5.0,8,23.7078,8,15.0,2,2,N,Semi-Automatic,Two Seaters,N,Yes
3.0,6,29.0058,8,15.0,2,2,N,Semi-Automatic,Two Seaters,N,Yes
3.0,6,29.0058,8,15.0,2,2,N,Semi-Automatic,Two Seaters,N,Yes
